word,count
kanaa,468
friteerattuja,328
kasvis,238
Keittolounas,236
kasviksia,200
salaattipöydän,195
paistettua,177
pizzaa,174
pitsat,172
kastikkeet,172
kebabia,172
vihannesten,172
KAHVI,171
itame-kasviksia,164
tofu,164
nuudelia,164
friteerattua,164
SUSHIPÖYTÄ,164
JÄÄTELÖBUFFET,164
paholaisenhilloa,122
kevätkääryleitä,119
burger:,119
parila:,119
parila,119
pihvi,119
salaatit:,118
Kana/paneroitu,118
auradippi,118
Vuohenjuustoa/halloumia,118
pihvi:,118
Salaatti,117
salaattipöytä.,117
Salaattilounas,117
Jälkiruoka:,116
luomuleipä,116
luomukahvi,116
lounassalaatitL,110
Lämpimiä,106
Salaattibuffet,105
katkarapuja,90
50/kg,85
PERUNAMUUSI,83
avoinna,80
PERUNAT,77
Ruokailuja,74
lounasajan,74
ulkopuolellakin,74
tilauksesta,74
ota,74
takeaway-lounas,72
lounas,71
kasviskolmioita,71
laktoositon,70
ananas,70
naudanlihaa,70
salaattipöytäL,69
keitto,69
Possua,68
lounaalle.,68
annokset,67
