word,count
kanaa,487
friteerattuja,342
kahvi,260
kasvis,249
parila,248
pihvi,247
Keittolounas,246
tee.,245
salaattipöydän,210
kasviksia,210
paistettua,184
pizzaa,181
KAHVI,179
pitsat,179
kastikkeet,179
kebabia,179
vihannesten,179
itame-kasviksia,171
tofu,171
nuudelia,171
friteerattua,171
SUSHIPÖYTÄ,171
JÄÄTELÖBUFFET,171
Jälkiruoka,128
paholaisenhilloa,127
kevätkääryleitä,124
salaatit,124
paneroitu,124
Vuohenjuustoa,124
halloumia,124
Kana,123
auradippi,123
Salaatti,122
salaattipöytä.,122
Salaattilounas,122
luomuleipä,121
luomukahvi,121
lounassalaatitL,115
Salaattibuffet,109
KEITTO,108
katkarapuja,94
PERUNAMUUSI,86
keitto,85
PERUNAT,79
kahvin,76
teen,76
ananas,73
naudanlihaa,73
salaattipöytäL,71
härkää,71
Possua,71
Salaattipöytä,65
Broileria,63
Keitto+salaatti,61
Keitto,61
salaatti,61
PERUNAMUUSIA,60
Härkää,55
sipulirenkaita,50
burgerit,50
pihviannokset,50
osoitteesta,50
porsaanlihaa,49
aurajuustokastikkeella,44
broileria,40
Perunamuusi,40
curry,40
vihanneksia,38
jälkiruoan.,37
jauhelihakeitto,36
TILLI-KERMAVIILIKASTIKETTA,34
Kanaa,33
cheddarkastikkeella,32
kanakeitto,31
Lohkoperunat,31
lohikeitto,31
Wieninleike,30
lehtipihvi,30
Härän,27
KERMAPERUNAT,26
